,AAPL,AMZN,GOOGL,MSFT
1981-10-16,0.0629,,,
1981-10-19,0.0642,,,
1981-10-20,0.0677,,,
1981-10-21,0.0677,,,
1981-10-22,0.0672,,,
1981-10-23,0.0655,,,
1981-10-26,0.0655,,,
1981-10-27,0.0668,,,
1981-10-28,0.0689,,,
1981-10-29,0.0681,,,
1981-10-30,0.0689,,,
1981-11-02,0.0689,,,
1981-11-03,0.0681,,,
1981-11-04,0.0663,,,
1981-11-05,0.0616,,,
1981-11-06,0.062,,,
1981-11-09,0.0629,,,
1981-11-10,0.0633,,,
1981-11-11,0.065,,,
1981-11-12,0.0672,,,
1981-11-13,0.0624,,,
1981-11-16,0.0616,,,
1981-11-17,0.0629,,,
1981-11-18,0.065,,,
1981-11-19,0.065,,,
1981-11-20,0.0655,,,
1981-11-23,0.0624,,,
1981-11-24,0.062,,,
1981-11-25,0.0633,,,
1981-11-27,0.065,,,
1981-11-30,0.0642,,,
1981-12-01,0.0642,,,
1981-12-02,0.0646,,,
1981-12-03,0.0638,,,
1981-12-04,0.0655,,,
1981-12-07,0.0659,,,
1981-12-08,0.0646,,,
1981-12-09,0.065,,,
1981-12-10,0.065,,,
1981-12-11,0.0646,,,
1981-12-14,0.0624,,,
1981-12-15,0.0642,,,
1981-12-16,0.0672,,,
1981-12-17,0.0728,,,
1981-12-18,0.0788,,,
1981-12-21,0.0754,,,
1981-12-22,0.0767,,,
1981-12-23,0.075,,,
1981-12-24,0.0754,,,
1981-12-28,0.072,,,
1981-12-29,0.0732,,,
1981-12-30,0.0763,,,
1981-12-31,0.0763,,,
1982-01-04,0.0758,,,
1982-01-05,0.072,,,
1982-01-06,0.0711,,,
1982-01-07,0.0655,,,
1982-01-08,0.0685,,,
1982-01-11,0.0642,,,
1982-01-12,0.062,,,
1982-01-13,0.0616,,,
1982-01-14,0.0646,,,
1982-01-15,0.0689,,,
1982-01-18,0.0702,,,
1982-01-19,0.0685,,,
1982-01-20,0.0698,,,
1982-01-21,0.0711,,,
1982-01-22,0.0715,,,
1982-01-25,0.0694,,,
1982-01-26,0.0668,,,
1982-01-27,0.0672,,,
1982-01-28,0.0694,,,
1982-01-29,0.0702,,,
1982-02-01,0.0694,,,
1982-02-02,0.0698,,,
1982-02-03,0.0698,,,
1982-02-04,0.0681,,,
1982-02-05,0.0681,,,
1982-02-08,0.0638,,,
1982-02-09,0.0638,,,
1982-02-10,0.0646,,,
1982-02-11,0.0638,,,
1982-02-12,0.0646,,,
1982-02-16,0.0633,,,
1982-02-17,0.0642,,,
1982-02-18,0.065,,,
1982-02-19,0.0646,,,
1982-02-22,0.0638,,,
1982-02-23,0.0629,,,
1982-02-24,0.0633,,,
1982-02-25,0.0629,,,
1982-02-26,0.0629,,,
1982-03-01,0.0633,,,
1982-03-02,0.0633,,,
1982-03-03,0.0633,,,
1982-03-04,0.062,,,
1982-03-05,0.0573,,,
1982-03-08,0.0564,,,
1982-03-09,0.0569,,,
1982-03-10,0.056,,,
1982-03-11,0.056,,,
1982-03-12,0.0526,,,
1982-03-15,0.0521,,,
1982-03-16,0.0512,,,
1982-03-17,0.0487,,,
1982-03-18,0.0526,,,
1982-03-19,0.0573,,,
1982-03-22,0.0616,,,
1982-03-23,0.0607,,,
1982-03-24,0.0573,,,
1982-03-25,0.0569,,,
1982-03-26,0.056,,,
1982-03-29,0.0573,,,
1982-03-30,0.0582,,,
1982-03-31,0.0582,,,
1982-04-01,0.0612,,,
1982-04-02,0.0612,,,
1982-04-05,0.0612,,,
1982-04-06,0.0607,,,
1982-04-07,0.0599,,,
1982-04-08,0.0603,,,
1982-04-12,0.0599,,,
1982-04-13,0.0551,,,
1982-04-14,0.0556,,,
1982-04-15,0.0564,,,
1982-04-16,0.0582,,,
1982-04-19,0.0569,,,
1982-04-20,0.0543,,,
1982-04-21,0.0539,,,
1982-04-22,0.053,,,
1982-04-23,0.053,,,
1982-04-26,0.0543,,,
1982-04-27,0.0526,,,
1982-04-28,0.0504,,,
1982-04-29,0.0504,,,
1982-04-30,0.0508,,,
1982-05-03,0.0526,,,
1982-05-04,0.0543,,,
1982-05-05,0.0534,,,
1982-05-06,0.0551,,,
1982-05-07,0.056,,,
1982-05-10,0.0551,,,
1982-05-11,0.0534,,,
1982-05-12,0.0521,,,
1982-05-13,0.0526,,,
1982-05-14,0.0504,,,
1982-05-17,0.0496,,,
1982-05-18,0.0487,,,
1982-05-19,0.0482,,,
1982-05-20,0.0487,,,
1982-05-21,0.0491,,,
1982-05-24,0.0496,,,
1982-05-25,0.0496,,,
1982-05-26,0.0491,,,
1982-05-27,0.0482,,,
1982-05-28,0.0482,,,
1982-06-01,0.0474,,,
1982-06-02,0.0482,,,
1982-06-03,0.0465,,,
1982-06-04,0.0453,,,
1982-06-07,0.0453,,,
1982-06-08,0.0448,,,
1982-06-09,0.0439,,,
1982-06-10,0.0444,,,
1982-06-11,0.0461,,,
1982-06-14,0.0461,,,
1982-06-15,0.0461,,,
1982-06-16,0.0461,,,
1982-06-17,0.0453,,,
1982-06-18,0.0444,,,
1982-06-21,0.0444,,,
1982-06-22,0.0461,,,
1982-06-23,0.0474,,,
1982-06-24,0.0474,,,
1982-06-25,0.0457,,,
1982-06-28,0.0453,,,
1982-06-29,0.0439,,,
1982-06-30,0.0439,,,
1982-07-01,0.0435,,,
1982-07-02,0.0414,,,
1982-07-06,0.0396,,,
1982-07-07,0.0396,,,
1982-07-08,0.0379,,,
1982-07-09,0.0392,,,
1982-07-12,0.0401,,,
1982-07-13,0.0426,,,
1982-07-14,0.0431,,,
1982-07-15,0.0439,,,
1982-07-16,0.0457,,,
1982-07-19,0.0461,,,
1982-07-20,0.0491,,,
1982-07-21,0.0491,,,
1982-07-22,0.0496,,,
1982-07-23,0.0487,,,
1982-07-26,0.0465,,,
1982-07-27,0.0465,,,
1982-07-28,0.0444,,,
1982-07-29,0.0461,,,
1982-07-30,0.0465,,,
1982-08-02,0.0478,,,
1982-08-03,0.0448,,,
1982-08-04,0.0444,,,
1982-08-05,0.0426,,,
1982-08-06,0.0422,,,
1982-08-09,0.0426,,,
1982-08-10,0.0453,,,
1982-08-11,0.0457,,,
1982-08-12,0.0453,,,
1982-08-13,0.0453,,,
1982-08-16,0.0461,,,
1982-08-17,0.0491,,,
1982-08-18,0.0491,,,
1982-08-19,0.0496,,,
1982-08-20,0.0508,,,
1982-08-23,0.053,,,
1982-08-24,0.0556,,,
1982-08-25,0.0594,,,
1982-08-26,0.0612,,,
1982-08-27,0.0582,,,
1982-08-30,0.059,,,
1982-08-31,0.062,,,
1982-09-01,0.0603,,,
1982-09-02,0.0629,,,
1982-09-03,0.0633,,,
1982-09-07,0.0599,,,
1982-09-08,0.062,,,
1982-09-09,0.0607,,,
1982-09-10,0.0624,,,
1982-09-13,0.0629,,,
1982-09-14,0.065,,,
1982-09-15,0.0646,,,
1982-09-16,0.0624,,,
1982-09-17,0.0612,,,
1982-09-20,0.0616,,,
1982-09-21,0.0629,,,
1982-09-22,0.0646,,,
1982-09-23,0.0646,,,
1982-09-24,0.0624,,,
1982-09-27,0.0624,,,
1982-09-28,0.0633,,,
1982-09-29,0.0633,,,
1982-09-30,0.0629,,,
1982-10-01,0.0638,,,
1982-10-04,0.0646,,,
1982-10-05,0.065,,,
1982-10-06,0.0698,,,
1982-10-07,0.0754,,,
1982-10-08,0.081,,,
1982-10-11,0.0827,,,
1982-10-12,0.0801,,,
1982-10-13,0.081,,,
1982-10-14,0.0814,,,
1982-10-15,0.0793,,,
1982-10-18,0.081,,,
1982-10-19,0.0827,,,
1982-10-20,0.0874,,,
1982-10-21,0.0896,,,
1982-10-22,0.0892,,,
1982-10-25,0.084,,,
1982-10-26,0.0844,,,
1982-10-27,0.0866,,,
1982-10-28,0.0866,,,
1982-10-29,0.0874,,,
1982-11-01,0.0922,,,
1982-11-02,0.0986,,,
1982-11-03,0.106,,,
1982-11-04,0.1068,,,
1982-11-05,0.1038,,,
1982-11-08,0.0995,,,
1982-11-09,0.1029,,,
1982-11-10,0.1068,,,
1982-11-11,0.1137,,,
1982-11-12,0.1116,,,
1982-11-15,0.109,,,
1982-11-16,0.1034,,,
1982-11-17,0.1081,,,
1982-11-18,0.1081,,,
1982-11-19,0.1064,,,
1982-11-22,0.0969,,,
1982-11-23,0.0995,,,
1982-11-24,0.1017,,,
1982-11-26,0.0999,,,
1982-11-29,0.0995,,,
1982-11-30,0.1099,,,
1982-12-01,0.112,,,
1982-12-02,0.112,,,
1982-12-03,0.1094,,,
1982-12-06,0.1155,,,
1982-12-07,0.1167,,,
1982-12-08,0.1142,,,
1982-12-09,0.1086,,,
1982-12-10,0.1008,,,
1982-12-13,0.0986,,,
1982-12-14,0.0978,,,
1982-12-15,0.0974,,,
1982-12-16,0.0991,,,
1982-12-17,0.1038,,,
1982-12-20,0.1034,,,
1982-12-21,0.1043,,,
1982-12-22,0.1073,,,
1982-12-23,0.1103,,,
1982-12-27,0.1129,,,
1982-12-28,0.112,,,
1982-12-29,0.1081,,,
1982-12-30,0.1034,,,
1982-12-31,0.1029,,,
1983-01-03,0.0982,,,
1983-01-04,0.1038,,,
1983-01-05,0.1043,,,
1983-01-06,0.1004,,,
1983-01-07,0.0948,,,
1983-01-10,0.0991,,,
1983-01-11,0.1004,,,
1983-01-12,0.106,,,
1983-01-13,0.106,,,
1983-01-14,0.1137,,,
1983-01-17,0.1176,,,
1983-01-18,0.115,,,
1983-01-19,0.1159,,,
1983-01-20,0.1288,,,
1983-01-21,0.1288,,,
1983-01-24,0.1215,,,
1983-01-25,0.1262,,,
1983-01-26,0.1314,,,
1983-01-27,0.1404,,,
1983-01-28,0.1413,,,
1983-01-31,0.1409,,,
1983-02-01,0.1439,,,
1983-02-02,0.1477,,,
1983-02-03,0.1538,,,
1983-02-04,0.1516,,,
1983-02-07,0.1456,,,
1983-02-08,0.1443,,,
1983-02-09,0.1456,,,
1983-02-10,0.1551,,,
1983-02-11,0.1603,,,
1983-02-14,0.1594,,,
1983-02-15,0.1564,,,
1983-02-16,0.1534,,,
1983-02-17,0.1516,,,
1983-02-18,0.1564,,,
1983-02-22,0.1603,,,
1983-02-23,0.1615,,,
1983-02-24,0.1659,,,
1983-02-25,0.1611,,,
1983-02-28,0.1572,,,
1983-03-01,0.1598,,,
1983-03-02,0.1611,,,
1983-03-03,0.1559,,,
1983-03-04,0.1538,,,
1983-03-07,0.1508,,,
1983-03-08,0.1461,,,
1983-03-09,0.1504,,,
1983-03-10,0.1482,,,
1983-03-11,0.1461,,,
1983-03-14,0.1426,,,
1983-03-15,0.1447,,,
1983-03-16,0.1447,,,
1983-03-17,0.1461,,,
1983-03-18,0.1482,,,
1983-03-21,0.1516,,,
1983-03-22,0.1534,,,
1983-03-23,0.1461,,,
1983-03-24,0.1486,,,
1983-03-25,0.1486,,,
1983-03-28,0.1465,,,
1983-03-29,0.1508,,,
1983-03-30,0.1525,,,
1983-03-31,0.1456,,,
1983-04-04,0.1417,,,
1983-04-05,0.1391,,,
1983-04-06,0.1379,,,
1983-04-07,0.1366,,,
1983-04-08,0.1357,,,
1983-04-11,0.1434,,,
1983-04-12,0.1465,,,
1983-04-13,0.1516,,,
1983-04-14,0.1551,,,
1983-04-15,0.1577,,,
1983-04-18,0.162,,,
1983-04-19,0.1603,,,
1983-04-20,0.1745,,,
1983-04-21,0.1792,,,
1983-04-22,0.1758,,,
1983-04-25,0.1676,,,
1983-04-26,0.1723,,,
1983-04-27,0.1706,,,
1983-04-28,0.1723,,,
1983-04-29,0.174,,,
1983-05-02,0.1689,,,
1983-05-03,0.1671,,,
1983-05-04,0.1775,,,
1983-05-05,0.1891,,,
1983-05-06,0.19,,,
1983-05-09,0.1874,,,
1983-05-10,0.1887,,,
1983-05-11,0.1839,,,
1983-05-12,0.1822,,,
1983-05-13,0.1831,,,
1983-05-16,0.1783,,,
1983-05-17,0.1788,,,
1983-05-18,0.1809,,,
1983-05-19,0.1866,,,
1983-05-20,0.196,,,
1983-05-23,0.1982,,,
1983-05-24,0.2085,,,
1983-05-25,0.2068,,,
1983-05-26,0.2046,,,
1983-05-27,0.2046,,,
1983-05-31,0.199,,,
1983-06-01,0.2003,,,
1983-06-02,0.2016,,,
1983-06-03,0.2115,,,
1983-06-06,0.2163,,,
1983-06-07,0.209,,,
1983-06-08,0.2064,,,
1983-06-09,0.2051,,,
1983-06-10,0.2042,,,
1983-06-13,0.1973,,,
1983-06-14,0.193,,,
1983-06-15,0.1874,,,
1983-06-16,0.1973,,,
1983-06-17,0.1934,,,
1983-06-20,0.1839,,,
1983-06-21,0.1852,,,
1983-06-22,0.1909,,,
1983-06-23,0.1848,,,
1983-06-24,0.1835,,,
1983-06-27,0.1736,,,
1983-06-28,0.1615,,,
1983-06-29,0.1693,,,
1983-06-30,0.1685,,,
1983-07-01,0.1697,,,
1983-07-05,0.1628,,,
1983-07-06,0.1633,,,
1983-07-07,0.1611,,,
1983-07-08,0.1594,,,
1983-07-11,0.1637,,,
1983-07-12,0.1598,,,
1983-07-13,0.1589,,,
1983-07-14,0.1585,,,
1983-07-15,0.1529,,,
1983-07-18,0.1525,,,
1983-07-19,0.1508,,,
1983-07-20,0.1422,,,
1983-07-21,0.1495,,,
1983-07-22,0.1508,,,
1983-07-25,0.1486,,,
1983-07-26,0.1348,,,
1983-07-27,0.1249,,,
1983-07-28,0.1172,,,
1983-07-29,0.1202,,,
1983-08-01,0.1189,,,
1983-08-02,0.1185,,,
1983-08-03,0.1202,,,
1983-08-04,0.1146,,,
1983-08-05,0.1167,,,
1983-08-08,0.1172,,,
1983-08-09,0.1185,,,
1983-08-10,0.118,,,
1983-08-11,0.1163,,,
1983-08-12,0.1155,,,
1983-08-15,0.1185,,,
1983-08-16,0.1167,,,
1983-08-17,0.1142,,,
1983-08-18,0.1155,,,
1983-08-19,0.1163,,,
1983-08-22,0.1159,,,
1983-08-23,0.1099,,,
1983-08-24,0.1043,,,
1983-08-25,0.1051,,,
1983-08-26,0.1064,,,
1983-08-29,0.1077,,,
1983-08-30,0.1133,,,
1983-08-31,0.1284,,,
1983-09-01,0.1253,,,
1983-09-02,0.131,,,
1983-09-06,0.1357,,,
1983-09-07,0.1193,,,
1983-09-08,0.1094,,,
1983-09-09,0.1056,,,
1983-09-12,0.1056,,,
1983-09-13,0.1103,,,
1983-09-14,0.109,,,
1983-09-15,0.1038,,,
1983-09-16,0.1012,,,
1983-09-19,0.1103,,,
1983-09-20,0.1107,,,
1983-09-21,0.1086,,,
1983-09-22,0.112,,,
1983-09-26,0.0857,,,
1983-09-27,0.081,,,
1983-09-28,0.0788,,,
1983-09-29,0.0784,,,
1983-09-30,0.0797,,,
1983-10-03,0.0797,,,
1983-10-04,0.0788,,,
1983-10-05,0.0775,,,
1983-10-06,0.0767,,,
1983-10-07,0.0702,,,
1983-10-10,0.0681,,,
1983-10-11,0.0668,,,
1983-10-12,0.0728,,,
1983-10-13,0.0793,,,
1983-10-14,0.0784,,,
1983-10-17,0.0724,,,
1983-10-18,0.0668,,,
1983-10-19,0.0741,,,
1983-10-20,0.0702,,,
1983-10-21,0.0685,,,
1983-10-24,0.0728,,,
1983-10-25,0.0732,,,
1983-10-26,0.0694,,,
1983-10-27,0.0728,,,
1983-10-28,0.072,,,
1983-10-31,0.078,,,
1983-11-01,0.0793,,,
1983-11-02,0.081,,,
1983-11-03,0.0754,,,
1983-11-04,0.0728,,,
1983-11-07,0.0724,,,
1983-11-08,0.0616,,,
1983-11-09,0.0663,,,
1983-11-10,0.0677,,,
1983-11-11,0.0689,,,
1983-11-14,0.0681,,,
1983-11-15,0.0681,,,
1983-11-16,0.0689,,,
1983-11-17,0.0707,,,
1983-11-18,0.0711,,,
1983-11-21,0.0741,,,
1983-11-22,0.0741,,,
1983-11-23,0.0702,,,
1983-11-25,0.0707,,,
1983-11-28,0.0724,,,
1983-11-29,0.0715,,,
1983-11-30,0.0702,,,
1983-12-01,0.0698,,,
1983-12-02,0.0685,,,
1983-12-05,0.0702,,,
1983-12-06,0.0707,,,
1983-12-07,0.0724,,,
1983-12-08,0.0741,,,
1983-12-09,0.0745,,,
1983-12-12,0.0741,,,
1983-12-13,0.0775,,,
1983-12-14,0.0805,,,
1983-12-15,0.084,,,
1983-12-16,0.0853,,,
1983-12-19,0.0827,,,
1983-12-20,0.0805,,,
1983-12-21,0.0836,,,
1983-12-22,0.0853,,,
1983-12-23,0.0848,,,
1983-12-27,0.0853,,,
1983-12-28,0.0862,,,
1983-12-29,0.084,,,
1983-12-30,0.084,,,
1984-01-03,0.0883,,,
1984-01-04,0.0961,,,
1984-01-05,0.0974,,,
1984-01-06,0.0956,,,
1984-01-09,0.0905,,,
1984-01-10,0.0952,,,
1984-01-11,0.0965,,,
1984-01-12,0.0961,,,
1984-01-13,0.0939,,,
1984-01-16,0.0961,,,
1984-01-17,0.0986,,,
1984-01-18,0.0991,,,
1984-01-19,0.0999,,,
1984-01-20,0.0986,,,
1984-01-23,0.0995,,,
1984-01-24,0.0939,,,
1984-01-25,0.0931,,,
1984-01-26,0.0952,,,
1984-01-27,0.0901,,,
1984-01-30,0.0853,,,
1984-01-31,0.0853,,,
1984-02-01,0.0848,,,
1984-02-02,0.0857,,,
1984-02-03,0.0844,,,
1984-02-06,0.0801,,,
1984-02-07,0.0831,,,
1984-02-08,0.0801,,,
1984-02-09,0.0814,,,
1984-02-10,0.084,,,
1984-02-13,0.0836,,,
1984-02-14,0.0883,,,
1984-02-15,0.0866,,,
1984-02-16,0.0874,,,
1984-02-17,0.0862,,,
1984-02-21,0.0901,,,
1984-02-22,0.0944,,,
1984-02-23,0.0926,,,
1984-02-24,0.0935,,,
1984-02-27,0.0931,,,
1984-02-28,0.0879,,,
1984-02-29,0.0905,,,
1984-03-01,0.0931,,,
1984-03-02,0.0939,,,
1984-03-05,0.0922,,,
1984-03-06,0.0887,,,
1984-03-07,0.0913,,,
1984-03-08,0.0926,,,
1984-03-09,0.0909,,,
1984-03-12,0.0944,,,
1984-03-13,0.0931,,,
1984-03-14,0.0918,,,
1984-03-15,0.0922,,,
1984-03-16,0.0918,,,
1984-03-19,0.0905,,,
1984-03-20,0.0896,,,
1984-03-21,0.0896,,,
1984-03-22,0.0879,,,
1984-03-23,0.0879,,,
1984-03-26,0.0887,,,
1984-03-27,0.0862,,,
1984-03-28,0.0879,,,
1984-03-29,0.0874,,,
1984-03-30,0.0853,,,
1984-04-02,0.0857,,,
1984-04-03,0.0862,,,
1984-04-04,0.0844,,,
1984-04-05,0.0831,,,
1984-04-06,0.081,,,
1984-04-09,0.081,,,
1984-04-10,0.0853,,,
1984-04-11,0.0844,,,
1984-04-12,0.0887,,,
1984-04-13,0.0887,,,
1984-04-16,0.0905,,,
1984-04-17,0.0948,,,
1984-04-18,0.0965,,,
1984-04-19,0.0974,,,
1984-04-23,0.0978,,,
1984-04-24,0.0961,,,
1984-04-25,0.0952,,,
1984-04-26,0.1025,,,
1984-04-27,0.1038,,,
1984-04-30,0.1081,,,
1984-05-01,0.1146,,,
1984-05-02,0.1137,,,
1984-05-03,0.109,,,
1984-05-04,0.1038,,,
1984-05-07,0.1073,,,
1984-05-08,0.1133,,,
1984-05-09,0.1142,,,
1984-05-10,0.1142,,,
1984-05-11,0.1111,,,
1984-05-14,0.109,,,
1984-05-15,0.1099,,,
1984-05-16,0.1051,,,
1984-05-17,0.1004,,,
1984-05-18,0.1025,,,
1984-05-21,0.1099,,,
1984-05-22,0.1064,,,
1984-05-23,0.1043,,,
1984-05-24,0.1012,,,
1984-05-25,0.1017,,,
1984-05-29,0.1012,,,
1984-05-30,0.0999,,,
1984-05-31,0.1012,,,
1984-06-01,0.1047,,,
1984-06-04,0.1021,,,
1984-06-05,0.0961,,,
1984-06-06,0.0999,,,
1984-06-07,0.0991,,,
1984-06-08,0.0986,,,
1984-06-11,0.0986,,,
1984-06-12,0.1004,,,
1984-06-13,0.1025,,,
1984-06-14,0.0995,,,
1984-06-15,0.0999,,,
1984-06-18,0.1021,,,
1984-06-19,0.1012,,,
1984-06-20,0.1043,,,
1984-06-21,0.0999,,,
1984-06-22,0.0986,,,
1984-06-25,0.0939,,,
1984-06-26,0.0896,,,
1984-06-27,0.087,,,
1984-06-28,0.0909,,,
1984-06-29,0.0913,,,
1984-07-02,0.0883,,,
1984-07-03,0.087,,,
1984-07-05,0.0853,,,
1984-07-06,0.0866,,,
1984-07-09,0.0905,,,
1984-07-10,0.0926,,,
1984-07-11,0.0913,,,
1984-07-12,0.0918,,,
1984-07-13,0.0909,,,
1984-07-16,0.0887,,,
1984-07-17,0.0887,,,
1984-07-18,0.0874,,,
1984-07-19,0.0874,,,
1984-07-20,0.0874,,,
1984-07-23,0.0866,,,
1984-07-24,0.0918,,,
1984-07-25,0.0922,,,
1984-07-26,0.0939,,,
1984-07-27,0.0935,,,
1984-07-30,0.0879,,,
1984-07-31,0.0879,,,
1984-08-01,0.0862,,,
1984-08-02,0.0831,,,
1984-08-03,0.0944,,,
1984-08-06,0.1008,,,
1984-08-07,0.1021,,,
1984-08-08,0.0982,,,
1984-08-09,0.1025,,,
1984-08-10,0.0982,,,
1984-08-13,0.1034,,,
1984-08-14,0.0995,,,
1984-08-15,0.0961,,,
1984-08-16,0.0969,,,
1984-08-17,0.0948,,,
1984-08-20,0.0944,,,
1984-08-21,0.0982,,,
1984-08-22,0.0965,,,
1984-08-23,0.0969,,,
1984-08-24,0.0969,,,
